,Sorting Algorithm,Time,Input size
0,Bubble Sort,1.99,100
1,Bubble Sort,1.99,100
2,Bubble Sort,1.99,100
3,Bubble Sort,2.03,100
4,Bubble Sort,1.02,100
5,Bubble Sort,1.94,100
6,Bubble Sort,1.99,100
7,Bubble Sort,1.99,100
8,Bubble Sort,4.03,100
9,Bubble Sort,3.94,100
10,Bubble Sort,14.95,250
11,Bubble Sort,12.96,250
12,Bubble Sort,10.97,250
13,Bubble Sort,12.95,250
14,Bubble Sort,11.97,250
15,Bubble Sort,11.95,250
16,Bubble Sort,10.97,250
17,Bubble Sort,10.96,250
18,Bubble Sort,9.96,250
19,Bubble Sort,9.97,250
20,Bubble Sort,45.89,500
21,Bubble Sort,45.85,500
22,Bubble Sort,45.84,500
23,Bubble Sort,45.86,500
24,Bubble Sort,45.85,500
25,Bubble Sort,45.26,500
26,Bubble Sort,45.12,500
27,Bubble Sort,43.84,500
28,Bubble Sort,46.24,500
29,Bubble Sort,44.84,500
30,Bubble Sort,96.69,750
31,Bubble Sort,102.6,750
32,Bubble Sort,97.05,750
33,Bubble Sort,102.64,750
34,Bubble Sort,104.59,750
35,Bubble Sort,104.5,750
36,Bubble Sort,98.66,750
37,Bubble Sort,99.66,750
38,Bubble Sort,101.62,750
39,Bubble Sort,99.8,750
40,Bubble Sort,172.47,1000
41,Bubble Sort,170.7,1000
42,Bubble Sort,184.1,1000
43,Bubble Sort,191.64,1000
44,Bubble Sort,187.5,1000
45,Bubble Sort,186.63,1000
46,Bubble Sort,195.21,1000
47,Bubble Sort,178.4,1000
48,Bubble Sort,178.19,1000
49,Bubble Sort,215.35,1000
50,Bubble Sort,666.25,1250
51,Bubble Sort,351.87,1250
52,Bubble Sort,334.44,1250
53,Bubble Sort,319.79,1250
54,Bubble Sort,311.47,1250
55,Bubble Sort,295.11,1250
56,Bubble Sort,1010.26,1250
57,Bubble Sort,531.92,1250
58,Bubble Sort,451.95,1250
59,Bubble Sort,665.77,1250
60,Bubble Sort,2190.88,2500
61,Bubble Sort,2514.88,2500
62,Bubble Sort,2834.58,2500
63,Bubble Sort,1212.44,2500
64,Bubble Sort,1192.71,2500
65,Bubble Sort,1190.34,2500
66,Bubble Sort,1201.64,2500
67,Bubble Sort,1261.3,2500
68,Bubble Sort,1246.14,2500
69,Bubble Sort,1186.56,2500
70,Bubble Sort,2680.03,3750
71,Bubble Sort,2679.38,3750
72,Bubble Sort,2785.48,3750
73,Bubble Sort,2684.35,3750
74,Bubble Sort,2645.94,3750
75,Bubble Sort,2667.83,3750
76,Bubble Sort,2647.49,3750
77,Bubble Sort,2629.22,3750
78,Bubble Sort,2630.53,3750
79,Bubble Sort,2633.42,3750
80,Bubble Sort,4729.03,5000
81,Bubble Sort,4670.67,5000
82,Bubble Sort,4780.44,5000
83,Bubble Sort,4936.83,5000
84,Bubble Sort,4616.19,5000
85,Bubble Sort,4611.81,5000
